dealership_id,dealership_name,region
D001,Northstar Motors 1,Alberta
D002,Maple Motors 2,Alberta
D003,Solara Motors 3,Quebec
D004,Orion Motors 4,British Columbia
D005,Northstar Motors 5,British Columbia
D006,Northstar Motors 6,Ontario
D007,Evergreen Motors 7,Ontario
D008,Evergreen Motors 8,Quebec
D009,Evergreen Motors 9,Ontario
D010,Evergreen Motors 10,British Columbia
D011,Northstar Motors 11,Quebec
D012,Northstar Motors 12,Alberta
D013,Maple Motors 13,Ontario
D014,Orion Motors 14,British Columbia
D015,Northstar Motors 15,Alberta
D016,Evergreen Motors 16,Ontario
D017,Orion Motors 17,Quebec
D018,Orion Motors 18,Ontario
D019,Orion Motors 19,Ontario
D020,Evergreen Motors 20,Quebec
