service_id,vehicle_id,service_type,service_date,cost_usd
S0001,V0001,Tire rotation,2025-11-02,1550
S0002,V0002,Inspection,2025-11-05,346
S0003,V0003,Inspection,2025-08-17,1391
S0004,V0004,Oil change,2025-02-11,477
S0005,V0005,Tire rotation,2025-04-19,144
S0006,V0006,Tire rotation,2025-03-24,1326
S0007,V0007,Tire rotation,2025-12-22,1141
S0008,V0008,Oil change,2025-10-28,234
S0009,V0009,Tire rotation,2025-09-27,1340
S0010,V0010,Tire rotation,2025-05-23,1572
S0011,V0011,Brake service,2025-11-03,763
S0012,V0012,Inspection,2025-07-11,1332
S0013,V0013,Brake service,2025-09-15,838
S0014,V0014,Brake service,2025-06-21,1166
S0015,V0015,Tire rotation,2025-01-24,1262
S0016,V0016,Inspection,2025-11-15,602
S0017,V0017,Oil change,2025-10-05,336
S0018,V0018,Brake service,2025-09-15,375
S0019,V0019,Inspection,2025-10-10,1237
S0020,V0020,Inspection,2025-08-26,1482
S0021,V0021,Brake service,2025-09-14,1307
S0022,V0022,Brake service,2025-09-18,176
S0023,V0023,Tire rotation,2025-08-24,648
S0024,V0024,Inspection,2025-12-21,1324
S0025,V0025,Oil change,2025-03-11,1016
S0026,V0026,Brake service,2025-06-03,1374
S0027,V0027,Inspection,2025-09-20,194
S0028,V0028,Tire rotation,2025-10-28,446
S0029,V0029,Inspection,2025-04-01,1197
S0030,V0030,Inspection,2025-06-28,1411
S0031,V0031,Inspection,2025-01-05,708
S0032,V0032,Oil change,2025-12-20,562
S0033,V0033,Brake service,2025-01-20,286
S0034,V0034,Inspection,2025-05-10,1313
S0035,V0035,Oil change,2025-05-15,508
S0036,V0036,Tire rotation,2025-07-01,1463
S0037,V0037,Brake service,2025-04-11,1084
S0038,V0038,Tire rotation,2025-01-26,80
S0039,V0039,Tire rotation,2025-04-03,445
S0040,V0040,Brake service,2025-01-09,1099
S0041,V0041,Oil change,2025-07-07,339
S0042,V0042,Tire rotation,2025-01-19,449
S0043,V0043,Tire rotation,2025-04-19,995
S0044,V0044,Inspection,2025-04-09,517
S0045,V0045,Tire rotation,2025-05-21,1047
S0046,V0046,Oil change,2025-02-10,444
S0047,V0047,Inspection,2025-02-11,647
S0048,V0048,Oil change,2025-12-21,1164
S0049,V0049,Inspection,2025-10-28,430
S0050,V0050,Tire rotation,2025-07-21,214
S0051,V0051,Tire rotation,2025-04-07,1376
S0052,V0052,Tire rotation,2025-05-22,401
S0053,V0053,Oil change,2025-01-12,1002
S0054,V0054,Tire rotation,2025-06-26,427
S0055,V0055,Inspection,2025-01-11,1226
