inventory_id,vehicle_id,dealership_id,status
I0001,V0001,D018,IN_TRANSIT
I0002,V0002,D013,IN_TRANSIT
I0003,V0003,D014,IN_STOCK
I0004,V0004,D015,IN_STOCK
I0005,V0005,D001,IN_TRANSIT
I0006,V0006,D018,IN_STOCK
I0007,V0007,D012,SOLD
I0008,V0008,D018,SOLD
I0009,V0009,D003,SOLD
I0010,V0010,D012,SOLD
I0011,V0011,D007,IN_TRANSIT
I0012,V0012,D013,IN_TRANSIT
I0013,V0013,D011,IN_TRANSIT
I0014,V0014,D003,IN_STOCK
I0015,V0015,D019,IN_STOCK
I0016,V0016,D015,IN_TRANSIT
I0017,V0017,D017,SOLD
I0018,V0018,D012,IN_STOCK
I0019,V0019,D005,SOLD
I0020,V0020,D008,IN_STOCK
I0021,V0021,D001,SOLD
I0022,V0022,D001,IN_STOCK
I0023,V0023,D019,SOLD
I0024,V0024,D006,SOLD
I0025,V0025,D003,SOLD
I0026,V0026,D019,IN_TRANSIT
I0027,V0027,D018,SOLD
I0028,V0028,D006,SOLD
I0029,V0029,D012,IN_TRANSIT
I0030,V0030,D019,IN_STOCK
I0031,V0031,D016,IN_STOCK
I0032,V0032,D002,IN_TRANSIT
I0033,V0033,D020,IN_STOCK
I0034,V0034,D012,SOLD
I0035,V0035,D004,IN_STOCK
I0036,V0036,D017,IN_TRANSIT
I0037,V0037,D013,IN_TRANSIT
I0038,V0038,D010,IN_TRANSIT
I0039,V0039,D008,IN_TRANSIT
I0040,V0040,D001,SOLD
I0041,V0041,D007,IN_TRANSIT
I0042,V0042,D009,SOLD
I0043,V0043,D011,SOLD
I0044,V0044,D001,IN_TRANSIT
I0045,V0045,D002,SOLD
I0046,V0046,D003,SOLD
I0047,V0047,D011,IN_STOCK
I0048,V0048,D016,IN_STOCK
I0049,V0049,D011,IN_TRANSIT
I0050,V0050,D016,IN_STOCK
I0051,V0051,D008,SOLD
I0052,V0052,D017,IN_STOCK
I0053,V0053,D002,SOLD
I0054,V0054,D002,IN_TRANSIT
I0055,V0055,D008,IN_STOCK
I0056,V0056,D010,SOLD
I0057,V0057,D001,IN_TRANSIT
I0058,V0058,D002,SOLD
I0059,V0059,D019,IN_TRANSIT
I0060,V0060,D019,IN_TRANSIT
I0061,V0061,D010,SOLD
I0062,V0062,D006,IN_STOCK
I0063,V0063,D010,IN_TRANSIT
I0064,V0064,D012,SOLD
I0065,V0065,D013,IN_STOCK
I0066,V0066,D002,SOLD
I0067,V0067,D003,IN_TRANSIT
I0068,V0068,D011,IN_TRANSIT
I0069,V0069,D017,IN_TRANSIT
I0070,V0070,D012,IN_TRANSIT
I0071,V0071,D010,IN_TRANSIT
I0072,V0072,D002,SOLD
I0073,V0073,D015,IN_STOCK
I0074,V0074,D013,IN_STOCK
I0075,V0075,D014,IN_TRANSIT
I0076,V0076,D013,SOLD
I0077,V0077,D012,SOLD
I0078,V0078,D001,SOLD
I0079,V0079,D002,SOLD
I0080,V0080,D020,IN_TRANSIT
I0081,V0081,D020,SOLD
I0082,V0082,D013,IN_TRANSIT
I0083,V0083,D012,SOLD
I0084,V0084,D002,SOLD
I0085,V0085,D016,SOLD
I0086,V0086,D003,IN_STOCK
I0087,V0087,D013,IN_TRANSIT
I0088,V0088,D017,SOLD
I0089,V0089,D018,IN_STOCK
I0090,V0090,D001,IN_STOCK
I0091,V0091,D008,IN_TRANSIT
I0092,V0092,D010,IN_TRANSIT
I0093,V0093,D020,SOLD
I0094,V0094,D013,IN_TRANSIT
I0095,V0095,D020,IN_STOCK
I0096,V0096,D007,SOLD
I0097,V0097,D011,IN_TRANSIT
I0098,V0098,D007,SOLD
I0099,V0099,D002,IN_TRANSIT
I0100,V0100,D004,IN_STOCK
I0101,V0101,D006,IN_TRANSIT
I0102,V0102,D016,SOLD
